Category,Method,Accuracy,dAccuracy,Yes(%),dYes(%)
Random,sample,83.6,,39.3,
Random,VCD,88.2,+4.6,44.0,+4.7
Random,ICD,86.2,+2.5,38.8,-0.5
Random,SID,87.7,+4.0,42.1,+2.8
Random,sample†,86.6,+2.9,40.5,+1.2
Popular,sample,81.7,,39.9,
Popular,VCD,85.6,+3.9,46.5,+6.6
Popular,ICD,84.1,+2.3,39.9,+0.0
Popular,SID,85.7,+3.9,44.0,+4.1
Popular,sample†,84.5,+2.7,41.7,+1.7
Adversarial,sample,79.8,,44.4,
Adversarial,VCD,82.0,+2.2,50.3,+5.9
Adversarial,ICD,81.9,+2.0,42.5,-1.9
Adversarial,SID,82.0,+2.1,47.8,+3.3
Adversarial,sample†,81.9,+2.1,43.7,-0.7
